epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2724.13,1.40611,1.10095,1.29323,0.64138,0.36859,0.41257,0.29518,1.18443,1.01444,1.28626,0.00505,0.00505,0.00505
102,2744.99,1.4366,1.10813,1.28326,0.6662,0.36948,0.42333,0.30196,1.18811,1.00185,1.28573,0.0050005,0.0050005,0.0050005
103,2766.82,1.38176,1.0679,1.28408,0.65968,0.34591,0.40781,0.28788,1.1864,1.03883,1.37206,0.004951,0.004951,0.004951
104,2786.13,1.41514,1.09219,1.27085,0.6305,0.37683,0.42715,0.30571,1.1738,0.97948,1.28866,0.0049015,0.0049015,0.0049015
105,2805.97,1.39294,1.0767,1.2689,0.7023,0.37507,0.43728,0.31013,1.16355,0.96676,1.30464,0.004852,0.004852,0.004852
106,2826.99,1.42228,1.1103,1.2769,0.64156,0.36508,0.42554,0.306,1.16154,1.00271,1.31647,0.0048025,0.0048025,0.0048025
107,2847.15,1.40508,1.1103,1.28026,0.6904,0.36331,0.41968,0.29984,1.17126,1.00199,1.30253,0.004753,0.004753,0.004753
108,2868.62,1.39596,1.07642,1.26705,0.65705,0.37347,0.43228,0.31079,1.15326,1.03904,1.29569,0.0047035,0.0047035,0.0047035
109,2888.64,1.40395,1.07945,1.27191,0.70391,0.36739,0.42348,0.30832,1.15029,0.98918,1.29004,0.004654,0.004654,0.004654
110,2908.79,1.38572,1.05408,1.2551,0.70253,0.36783,0.43178,0.31063,1.14004,0.99555,1.30998,0.0046045,0.0046045,0.0046045
111,2929.45,1.36678,1.05726,1.28225,0.68822,0.37527,0.43354,0.31643,1.14914,0.97434,1.30656,0.004555,0.004555,0.004555
112,2950.01,1.40815,1.07668,1.28558,0.70004,0.37122,0.43567,0.31012,1.20682,1.01583,1.43117,0.0045055,0.0045055,0.0045055
113,2970.73,1.39881,1.08615,1.27007,0.68859,0.38971,0.44694,0.32437,1.13927,0.9551,1.28998,0.004456,0.004456,0.004456
114,2991.22,1.39844,1.0757,1.26449,0.71409,0.38226,0.44412,0.32157,1.1388,0.94653,1.2983,0.0044065,0.0044065,0.0044065
115,3011.19,1.39204,1.07882,1.25658,0.67339,0.38519,0.43822,0.31248,1.16798,0.96503,1.27618,0.004357,0.004357,0.004357
116,3031.7,1.38575,1.08617,1.27378,0.67931,0.37552,0.43722,0.31316,1.1604,0.98355,1.30577,0.0043075,0.0043075,0.0043075
117,3052.55,1.38432,1.06336,1.26673,0.71074,0.3729,0.44356,0.3214,1.1284,0.99216,1.29048,0.004258,0.004258,0.004258
118,3072.87,1.3949,1.08061,1.26373,0.70164,0.37274,0.43957,0.31773,1.14126,0.97882,1.28194,0.0042085,0.0042085,0.0042085
119,3093.87,1.38457,1.06451,1.26307,0.72828,0.38376,0.45233,0.32758,1.1489,0.95563,1.27044,0.004159,0.004159,0.004159
120,3114.56,1.37361,1.08471,1.25652,0.68713,0.37471,0.4388,0.31998,1.14023,0.9762,1.28029,0.0041095,0.0041095,0.0041095
121,3134.86,1.37715,1.06168,1.26588,0.6768,0.38584,0.43975,0.31829,1.12624,0.93954,1.28225,0.00406,0.00406,0.00406
122,3155.88,1.37349,1.06095,1.27312,0.75362,0.38391,0.44893,0.32615,1.12782,0.9546,1.30629,0.0040105,0.0040105,0.0040105
123,3176.6,1.37643,1.04473,1.26099,0.6584,0.39729,0.43955,0.31855,1.12488,0.94889,1.28265,0.003961,0.003961,0.003961
124,3198.14,1.37318,1.07935,1.28359,0.71441,0.38188,0.4468,0.3245,1.12618,0.98589,1.28705,0.0039115,0.0039115,0.0039115
125,3218.09,1.37466,1.06361,1.25567,0.71411,0.38199,0.44371,0.32069,1.12804,0.92831,1.26118,0.003862,0.003862,0.003862
126,3239.55,1.40713,1.06908,1.26046,0.6634,0.38968,0.4415,0.3242,1.12577,0.97486,1.264,0.0038125,0.0038125,0.0038125
127,3259.66,1.35035,1.03035,1.25924,0.70273,0.37818,0.43543,0.31904,1.11887,0.9668,1.28225,0.003763,0.003763,0.003763
128,3280.86,1.38407,1.05235,1.24886,0.74372,0.38143,0.45386,0.33354,1.10697,0.94807,1.2784,0.0037135,0.0037135,0.0037135
